time,flowcount
"12/23/2022, 14:09:26",3
"12/23/2022, 14:09:28",3
"12/23/2022, 14:09:30",3
time,flowcount
"12/23/2022, 14:15:27",3
"12/23/2022, 14:15:29",3
"12/23/2022, 14:15:31",3
"12/23/2022, 14:15:33",3
"12/23/2022, 14:15:35",3
"12/23/2022, 14:15:37",3
"12/23/2022, 14:15:39",3
time,flowcount
"12/23/2022, 14:19:59",54
"12/23/2022, 14:20:01",243
"12/23/2022, 14:20:03",432
"12/23/2022, 14:20:05",622
"12/23/2022, 14:20:07",809
"12/23/2022, 14:20:09",995
"12/23/2022, 14:20:11",1056
"12/23/2022, 14:20:13",1183
time,flowcount
"12/24/2022, 10:30:42",5
"12/24/2022, 10:30:44",7
"12/24/2022, 10:30:46",9
"12/24/2022, 10:30:48",11
"12/24/2022, 10:30:50",13
"12/24/2022, 10:30:52",15
"12/24/2022, 10:30:54",19
"12/24/2022, 10:30:56",25
"12/24/2022, 10:30:58",25
"12/24/2022, 10:31:00",31
"12/24/2022, 10:31:02",33
"12/24/2022, 10:31:04",37
"12/24/2022, 10:31:06",39
"12/24/2022, 10:31:08",39
"12/24/2022, 10:31:10",39
time,flowcount
"12/24/2022, 10:32:08",154
"12/24/2022, 10:32:10",346
"12/24/2022, 10:32:12",534
"12/24/2022, 10:32:14",726
"12/24/2022, 10:32:16",915
"12/24/2022, 10:32:18",1003
"12/24/2022, 10:32:20",1126
"12/24/2022, 10:32:22",1252
time,flowcount
"12/24/2022, 10:33:41",3
"12/24/2022, 10:33:43",7
"12/24/2022, 10:33:45",11
"12/24/2022, 10:33:47",13
"12/24/2022, 10:33:49",15
"12/24/2022, 10:33:51",19
"12/24/2022, 10:33:53",23
"12/24/2022, 10:33:55",25
"12/24/2022, 10:33:57",25
"12/24/2022, 10:33:59",37
"12/24/2022, 10:34:01",39
"12/24/2022, 10:34:03",43
"12/24/2022, 10:34:05",47
"12/24/2022, 10:34:07",55
"12/24/2022, 10:34:09",55
"12/24/2022, 10:34:11",57
"12/24/2022, 10:34:13",57
"12/24/2022, 10:34:15",63
"12/24/2022, 10:34:17",69
"12/24/2022, 10:34:19",69
"12/24/2022, 10:34:21",69
"12/24/2022, 10:34:23",69
"12/24/2022, 10:34:25",69
time,flowcount
"12/24/2022, 10:34:39",4
"12/24/2022, 10:34:41",4
"12/24/2022, 10:34:43",4
"12/24/2022, 10:34:45",4
"12/24/2022, 10:34:47",4
"12/24/2022, 10:34:49",4
"12/24/2022, 10:34:51",4
"12/24/2022, 10:34:53",4
"12/24/2022, 10:34:55",4
"12/24/2022, 10:34:57",4
"12/24/2022, 10:34:59",4
"12/24/2022, 10:35:01",4
"12/24/2022, 10:35:03",4
"12/24/2022, 10:35:05",4
"12/24/2022, 10:35:07",4
"12/24/2022, 10:35:09",4
"12/24/2022, 10:35:11",4
"12/24/2022, 10:35:13",4
"12/24/2022, 10:35:15",4
"12/24/2022, 10:35:17",4
"12/24/2022, 10:35:19",4
"12/24/2022, 10:35:21",4
"12/24/2022, 10:35:23",4
"12/24/2022, 10:35:25",4
"12/24/2022, 10:35:27",4
"12/24/2022, 10:35:29",4
"12/24/2022, 10:35:31",4
"12/24/2022, 10:35:33",4
"12/24/2022, 10:35:35",4
"12/24/2022, 10:35:37",4
time,flowcount
"12/24/2022, 10:36:47",48
"12/24/2022, 10:36:49",50
"12/24/2022, 10:36:51",50
"12/24/2022, 10:36:53",50
"12/24/2022, 10:36:55",50
"12/24/2022, 10:36:57",50
"12/24/2022, 10:36:59",50
"12/24/2022, 10:37:01",50
"12/24/2022, 10:37:03",50
"12/24/2022, 10:37:05",50
"12/24/2022, 10:37:07",50
"12/24/2022, 10:37:09",50
"12/24/2022, 10:37:11",50
"12/24/2022, 10:37:13",50
"12/24/2022, 10:37:15",50
time,flowcount
"12/24/2022, 10:37:52",3
"12/24/2022, 10:37:54",3
"12/24/2022, 10:37:56",7
"12/24/2022, 10:37:58",7
"12/24/2022, 10:38:00",13
"12/24/2022, 10:38:02",13
"12/24/2022, 10:38:05",13
"12/24/2022, 10:38:07",21
"12/24/2022, 10:38:09",29
"12/24/2022, 10:38:11",35
"12/24/2022, 10:38:13",35
"12/24/2022, 10:38:15",35
"12/24/2022, 10:38:17",35
"12/24/2022, 10:38:19",35
"12/24/2022, 10:38:21",35
"12/24/2022, 10:38:23",35
time,flowcount
"12/24/2022, 10:38:31",4
"12/24/2022, 10:38:33",4
"12/24/2022, 10:38:35",4
"12/24/2022, 10:38:37",4
time,flowcount
"12/24/2022, 10:40:20",1
"12/24/2022, 10:40:22",3
"12/24/2022, 10:40:24",5
"12/24/2022, 10:40:26",7
"12/24/2022, 10:40:28",15
"12/24/2022, 10:40:30",19
time,flowcount
"12/24/2022, 10:47:11",7
"12/24/2022, 10:47:13",7
"12/24/2022, 10:47:15",7
"12/24/2022, 10:47:17",7
"12/24/2022, 10:47:19",7
"12/24/2022, 10:47:21",11
"12/24/2022, 10:47:23",19
"12/24/2022, 10:47:25",21
"12/24/2022, 10:47:27",23
"12/24/2022, 10:47:29",27
"12/24/2022, 10:47:31",31
"12/24/2022, 10:47:33",31
"12/24/2022, 10:47:35",31
"12/24/2022, 10:47:37",37
time,flowcount
"12/24/2022, 10:47:49",166
"12/24/2022, 10:47:51",167
"12/24/2022, 10:47:53",167
"12/24/2022, 10:47:55",167
"12/24/2022, 10:47:57",167
"12/24/2022, 10:47:59",167
"12/24/2022, 10:48:01",167
"12/24/2022, 10:48:03",167
"12/24/2022, 10:48:05",167
"12/24/2022, 10:48:07",167
"12/24/2022, 10:48:09",167
"12/24/2022, 10:48:11",167
"12/24/2022, 10:48:13",167
"12/24/2022, 10:48:15",167
"12/24/2022, 10:48:17",167
"12/24/2022, 10:48:19",167
"12/24/2022, 10:48:21",167
"12/24/2022, 10:48:23",167
"12/24/2022, 10:48:25",167
"12/24/2022, 10:48:27",167
"12/24/2022, 10:48:29",167
"12/24/2022, 10:48:31",167
"12/24/2022, 10:48:33",167
"12/24/2022, 10:48:35",167
"12/24/2022, 10:48:37",167
"12/24/2022, 10:48:39",167
"12/24/2022, 10:48:41",167
"12/24/2022, 10:48:43",167
