time,sfe,ssip,rfip,type
"12/23/2022, 14:20:07",187,187,0.0024752475247524753,1
"12/23/2022, 14:20:09",186,186,0.002012072434607646,1
"12/23/2022, 14:20:11",61,61,0.0018957345971563982,1
"12/23/2022, 14:20:13",127,127,0.001692047377326565,1
time,sfe,ssip,rfip,type
"12/24/2022, 10:30:42",5,3,1.0,0
"12/24/2022, 10:30:44",2,1,1.0,0
"12/24/2022, 10:30:46",2,1,1.0,0
"12/24/2022, 10:30:48",2,1,1.0,0
"12/24/2022, 10:30:50",2,0,1.0,0
"12/24/2022, 10:30:52",2,0,1.0,0
"12/24/2022, 10:30:54",4,0,1.0,0
"12/24/2022, 10:30:56",6,3,1.0,0
"12/24/2022, 10:30:58",0,0,1.0,0
"12/24/2022, 10:31:00",6,1,1.0,0
"12/24/2022, 10:31:02",2,0,1.0,0
"12/24/2022, 10:31:04",4,0,1.0,0
"12/24/2022, 10:31:06",2,0,1.0,0
"12/24/2022, 10:31:08",0,0,1.0,0
"12/24/2022, 10:31:10",0,0,1.0,0
time,sfe,ssip,rfip,type
"12/24/2022, 10:32:08",154,153,0.013071895424836602,1
"12/24/2022, 10:32:10",192,192,0.005797101449275362,1
"12/24/2022, 10:32:12",188,188,0.00375234521575985,1
"12/24/2022, 10:32:14",192,192,0.002758620689655172,1
"12/24/2022, 10:32:16",189,189,0.002188183807439825,1
"12/24/2022, 10:32:18",88,88,0.001996007984031936,1
"12/24/2022, 10:32:20",123,123,0.0017777777777777779,1
"12/24/2022, 10:32:22",126,126,0.0015987210231814548,1
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"12/25/2022, 00:35:09",1,0,1.0,0
"12/25/2022, 00:35:11",0,0,1.0,0
"12/25/2022, 00:35:13",0,0,1.0,0
"12/25/2022, 00:35:15",0,0,1.0,0
"12/25/2022, 00:35:17",0,0,1.0,0
"12/25/2022, 00:35:19",0,0,1.0,0
"12/25/2022, 00:35:21",0,0,1.0,0
"12/25/2022, 00:35:23",8,5,1.0,0
"12/25/2022, 00:35:25",4,1,1.0,0
"12/25/2022, 00:35:27",4,1,1.0,0
"12/25/2022, 00:35:29",2,1,1.0,0
time,sfe,ssip,rfip,type
"12/25/2022, 00:35:58",1,0,1.0,0
"12/25/2022, 00:36:00",180,180,0.011111111111111112,0
"12/25/2022, 00:36:02",190,190,0.005405405405405406,0
"12/25/2022, 00:36:04",189,189,0.0035778175313059034,0
"12/25/2022, 00:36:06",188,188,0.002677376171352075,0
"12/25/2022, 00:36:08",185,185,0.002145922746781116,0
"12/25/2022, 00:36:10",81,81,0.0019743336623889436,0
"12/25/2022, 00:36:12",126,126,0.001755926251097454,0
"12/25/2022, 00:36:14",127,127,0.001579778830963665,0
"12/25/2022, 00:36:16",126,126,0.0014367816091954023,0
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
time,sfe,ssip,rfip,type
"12/25/2022, 01:11:45",3,2,1.0,0
"12/25/2022, 01:11:47",2,1,1.0,0
"12/25/2022, 01:11:49",4,2,1.0,0
"12/25/2022, 01:11:51",2,1,1.0,0
"12/25/2022, 01:11:53",4,1,1.0,0
"12/25/2022, 01:11:55",2,1,1.0,0
"12/25/2022, 01:11:57",6,1,1.0,0
"12/25/2022, 01:11:59",2,0,1.0,0
"12/25/2022, 01:12:01",6,1,1.0,0
"12/25/2022, 01:12:03",2,0,1.0,0
"12/25/2022, 01:12:05",2,0,1.0,0
"12/25/2022, 01:12:07",2,0,1.0,0
"12/25/2022, 01:12:09",2,0,1.0,0
"12/25/2022, 01:12:11",2,0,1.0,0
"12/25/2022, 01:12:13",2,0,1.0,0
"12/25/2022, 01:12:15",4,0,1.0,0
"12/25/2022, 01:12:17",0,0,1.0,0
"12/25/2022, 01:12:19",4,0,1.0,0
"12/25/2022, 01:12:21",0,0,1.0,0
"12/25/2022, 01:12:23",4,0,1.0,0
"12/25/2022, 01:12:25",0,0,1.0,0
"12/25/2022, 01:12:27",4,0,1.0,0
"12/25/2022, 01:12:29",0,0,1.0,0
"12/25/2022, 01:12:31",2,0,1.0,0
"12/25/2022, 01:12:33",4,0,1.0,0
"12/25/2022, 01:12:35",0,0,1.0,0
"12/25/2022, 01:12:37",2,0,1.0,0
"12/25/2022, 01:12:39",0,0,1.0,0
"12/25/2022, 01:12:41",0,0,1.0,0
"12/25/2022, 01:12:43",0,0,1.0,0
time,sfe,ssip,rfip,type
"12/25/2022, 01:13:45",58,57,0.03508771929824561,0
"12/25/2022, 01:13:47",190,190,0.008097165991902834,0
"12/25/2022, 01:13:49",191,191,0.0045662100456621,0
"12/25/2022, 01:13:51",190,190,0.0031847133757961785,0
"12/25/2022, 01:13:53",188,188,0.0024509803921568627,0
"12/25/2022, 01:13:55",184,184,0.002,0
"12/25/2022, 01:13:57",60,60,0.0018867924528301887,0
